"","text","sentiment"
"837",NA,"Neutral"
"838","Yep","Neutral"
"839","Yep","Neutral"
"840","GorrilaVR","Neutral"
"841","Present","Neutral"
"842","","Neutral"
"843","Me","Neutral"
"844","Yeap","Neutral"
"845","Me","Neutral"
"846","Yup","Neutral"
"847","How can forget this song","Negative"
"848","Yeah Broo I am A Indian But This Song Is Emotion","Positive"
"849","Here","Neutral"
"850","Me","Neutral"
"851","Present","Neutral"
"852","Me","Neutral"
"853","Yeap from India","Neutral"
"854","Yo","Neutral"
"855","Yes","Positive"
"856","Sure","Neutral"
"857","Yes","Positive"
"858","","Neutral"
"859","Me","Neutral"
"860","Coldplay was my brothers fave band I listen to this song in his memory","Neutral"
"861","","Neutral"
"862","Yo bro","Neutral"
"863","Its india","Neutral"
"864"," now","Neutral"
"865","now ","Neutral"
"866"," min","Neutral"
"867","it is not April yet","Neutral"
"868","IsaacDTrujillo hehe sorry bro","Positive"
"869","Hdhdbdgdbs","Neutral"
"870","Hdhdgdgddmsj","Neutral"
"871","Hdhdhdbdgdgd","Neutral"
"872","Hello Love","Positive"
"873","Yes","Positive"
"874","am not it crazy","Negative"
"875","exactly they use guns or money or alcoholic substance to show up in their music videos ","Neutral"
"876","Just like other indian industries like Kollywood Tollywood Sandalwood Mollywood ","Positive"
"877","Sara bakchod gyan tum yahi pel lo hutiyo kyoki sara cultur to is gane me dikhaya hai","Neutral"
"878","userfotzsqybro sandalwood","Neutral"
"879","userfotzsqy but still sout industry atleast try to show our culture still","Neutral"
"880","Htt mccsavagecomedians","Neutral"
"881","Why only Bollywood u south agenda king","Neutral"
"882","savagecomediansno they do not they only make faltu","Neutral"
"883","Simm","Neutral"
"884","","Neutral"
"885","Yes","Positive"
"886","Yes","Positive"
"887","Yeap match Sunday night","Neutral"
"888","Yur","Neutral"
"889","yea","Neutral"
"890","usertgfxzfk ","Neutral"
"891","Yaa","Neutral"
"892","abril","Neutral"
"893","I am in April ","Neutral"
"894","Just missed April nd","Negative"
"895","Hi from april","Neutral"
"896","Hello mu","Neutral"
"897","evertonsousa hey","Neutral"
"898","Yup","Neutral"
"899","April ","Neutral"
"900","April","Neutral"
"901","yes","Positive"
"902","Yes brow","Positive"
"903","","Neutral"
"904","Malaysia","Neutral"
"905","Uzbekistan","Neutral"
"906","India","Neutral"
"907","Me ","Neutral"
"908","What","Neutral"
